"Year","School","Type","Adm.Rate","Enrollment","Avg.Cost","Inst.Expense","Avg.Faculty.Pay","Pell.Grant.Pct","Completion","Pct.Fed.Loan","Default.3Y"
"2010","University of Arkansas","Public",60.4,16.794,16.894,9.215,8.262,21.6,57.93,40.67,4.7
"2010","University of Arkansas at Pine Bluff","Public",30.17,3.265,14.837,5.556,5.028,70.56,24.2,75.68,21.1
"2010","Arkansas State University-Main Campus","Public",67.55,9.489,17.033,4.864,5.946,46.72,33.72,57.98,13.3
"2010","Arkansas Tech University","Public",90.89,8.034,14.518,4.226,5.618,41.39,39.48,45.67,13.7
"2010","University of Central Arkansas","Public",94.09,9.064,17.928,6.668,5.721,33.96,42.33,47.78,8.6
"2010","Central Baptist College","Private",64.54,0.724,17.598,3.298,4.228,44.8,34.15,61.92,10.7
"2010","Harding University","Private",72.66,4.122,23.236,8.41,6.285,26.85,66.81,58.79,2.1
"2010","Henderson State University","Public",62.58,3.31,16.702,5.174,5.567,48.29,32.7,53.68,11.9
"2010","Hendrix College","Private",82.88,1.451,42.662,11.772,6.715,19.16,60.34,53.57,1.8
"2010","John Brown University","Private",70.86,1.64,29.406,6.475,5.656,29.83,61.49,44.83,2.3
"2010","Ouachita Baptist University","Private",62.79,1.482,28.017,9.065,5.477,24.53,57.37,47.55,5.4
"2010","University of the Ozarks","Private",94.98,0.615,29.712,9.743,5.495,32.64,52.99,83.52,10.9
"2010","Philander Smith College","Private",71.15,0.691,19.083,6.1,4.429,80.99,16.46,91.47,11.8
"2010","Williams Baptist College","Private",66.79,0.563,20.059,3.643,4.559,45.72,45.07,59.77,4
"2010","Southern Arkansas University Main Campus","Public",66.51,2.676,16.123,5.633,5.422,52.61,32.61,52.47,10.8
"2010","University of Arkansas-Fort Smith","Public",58.55,6.998,13.534,4.684,5.852,44.87,18.02,40.67,12.3
"2010","Art Center College of Design","Private",66.86,1.54,52.99,16.627,6.652,32.22,71.43,46.05,3.6
"2010","Azusa Pacific University","Private",58.72,5.511,40.744,9.192,7.133,24.25,62.21,62.37,1.4
"2010","Biola University","Private",77.71,4.08,40.55,9.345,7.625,28.57,64.83,78.12,1.3
"2010","California Baptist University","Private",70.75,3.787,34.76,7.421,7.101,39.82,54.19,80.57,4.9
"2010","California College of the Arts","Private",75.84,1.389,47.332,14.247,7.164,28.17,54.12,61.41,3.7
"2010","California Institute of Technology","Private",12.55,0.967,49.968,84.686,15.678,11.04,90.34,29.65,0
"2010","California Lutheran University","Private",47.19,2.533,43.25,8.011,8.216,22.53,65.17,61.95,1.6
"2010","California Polytechnic State University-San Luis Obispo","Public",37.27,17.276,21.024,8.256,8.464,17.2,72.93,33.25,1.6
"2010","California State University-Bakersfield","Public",71.47,6.63,14.497,5.523,7.908,53.96,42.95,43.01,3.8
"2010","California State University-Stanislaus","Public",36.6,6.963,14.895,6.533,7.834,47.35,49.46,37.55,5.3
"2010","California State University-San Bernardino","Public",23.35,13.575,16.379,6.215,8.298,50.41,44.05,45.33,3.8
"2010","California State Polytechnic University-Pomona","Public",61.33,18.647,14.604,6.485,8.909,37.17,56.64,30.66,2.7
"2010","California State University-Chico","Public",81.37,14.668,19.568,5.935,8.177,31.35,61.83,40.31,4.1
"2010","California State University-Dominguez Hills","Public",58.97,10.441,10.678,5.563,8.1,46.5,30.91,35.71,4.4
"2010","California State University-Fresno","Public",71.94,17.915,15.323,6.293,7.921,40.18,50.56,29.37,5.1
"2010","California State University-Fullerton","Public",55.09,29.876,13.277,6.205,8.209,30.41,51.43,26.31,4.1
"2010","California State University-East Bay","Public",73.31,10.254,18.222,5.831,8.379,33.43,45.12,30.68,4.4
"2010","California State University-Long Beach","Public",31.77,27.416,15.673,6.661,8.372,35.46,54,30.31,3.1
"2010","California State University-Los Angeles","Public",67.22,16.009,12.899,6.346,8.658,51.81,37.35,28.49,2.9
"2010","California State University-Northridge","Public",72.54,29.967,18.675,6.146,8.31,39.92,47.89,31.47,5.9
"2010","California State University-Sacramento","Public",80.44,23.398,18.496,6.495,8.103,39.58,42.02,36.47,4.4
"2010","University of California-Berkeley","Public",21.62,25.54,28.602,15.111,12.775,32.44,91.1,34.1,1.2
"2010","University of California-Davis","Public",47.37,24.538,26.566,18.359,10.739,36.42,82.34,45.32,1.9
"2010","University of California-Irvine","Public",44.15,21.963,24.8,15.769,10.922,30.22,82.57,38.52,1.7
"2010","University of California-Los Angeles","Public",21.87,26.162,26.809,30.331,12.82,33.61,89.79,37.56,1.9
"2010","University of California-Riverside","Public",83.76,18.236,24.507,8.954,10.142,47.19,68.08,54.49,2.1
"2010","University of California-San Diego","Public",36.21,23.641,25.246,17.805,11.334,40.42,86.06,45.88,1.9
"2010","University of California-Santa Barbara","Public",48.15,19.184,27.838,8.934,11.262,30.85,79.42,42.61,1.3
"2010","University of California-Santa Cruz","Public",63.55,15.668,27.971,7.477,10.193,31.23,74.18,48.36,2.5
"2010","California Institute of the Arts","Private",15.65,0.895,51.823,20.196,7.438,31.4,64.97,65.47,4
"2010","California Maritime Academy","Public",77.85,0.85,19.962,13.789,7.725,30.5,61.07,53.22,8.6
"2010","Chapman University","Private",49.6,4.879,51.766,13.308,10.319,19.45,70.22,53.85,2.3
"2010","Concordia University-Irvine","Private",63.73,1.548,37.73,5.252,5.712,22.36,52.45,60.66,2.6
"2010","Claremont McKenna College","Private",17.1,1.253,52.934,21.107,11.014,13.63,93.19,12.15,0
"2010","Dominican University of California","Private",55.79,1.561,50.25,12.645,7.73,30.43,55.07,73.02,3.4
"2010","Fresno Pacific University","Private",75.64,2.338,32.462,7.096,5.543,47.89,63.13,68.58,4.4
"2010","Harvey Mudd College","Private",23.44,0.771,52.737,25.527,11.285,13.37,86.98,47.31,0
"2010","Holy Names University","Private",84.35,0.624,41.482,6.844,7.099,45.02,29.63,73.88,8.5
"2010","Humboldt State University","Public",84.06,7.221,18.288,7.217,7.925,41.51,36.58,50.21,5
"2010","Humphreys College-Stockton and Modesto Campuses","Private",58.48,0.71,21.897,3.168,5.031,70.94,90.37,81.68,15.6
"2010","University of La Verne","Private",68.11,4.052,39.779,7.402,8.636,37.17,70.24,56.9,3.3
"2010","La Sierra University","Private",53.46,1.471,36.439,10.103,6.639,36.87,35.14,65.06,5.7
"2010","Loma Linda University","Private",21.86,0.96,59.412,39.51,7.058,22.97,92.83,67.44,0.8
"2010","The Master's College and Seminary","Private",82.56,1.047,36.396,7.265,7.278,26.98,59.57,49.8,0.6
"2010","Loyola Marymount University","Private",53.94,5.796,52.071,12.948,10.108,18.26,79.71,45.84,2.5
"2010","Menlo College","Private",70.85,0.646,48.13,7.13,9.551,23.31,34.21,51.23,9
"2010","Mills College","Private",57.3,0.957,51.027,14.773,10.162,41.48,61.48,69.71,2.4
"2010","Mount St Mary's College","Private",72.76,2.276,42.563,7.879,7.399,49.8,51.37,89.19,3.4
"2010","National University","Private",91.33,6.518,24.948,2.835,7.531,23.88,31.25,41.35,4
"2010","Notre Dame de Namur University","Private",73.46,0.994,43.876,6.725,6.906,32.11,48.45,64.11,4.2
"2010","Occidental College","Private",41.92,2.073,52.973,18.6,8.771,21.25,84.68,39.76,1.9
"2010","Otis College of Art and Design","Private",50,1.156,45.37,12.54,6.66,44.32,56.91,66.44,7.7
"2010","Hope International University","Private",53.83,0.71,33.97,6.991,5.117,45.02,26.92,67.46,3.6
"2010","Pacific Union College","Private",39.89,1.45,35.45,14.064,4.721,34.01,40.51,75.49,5.2
"2010","University of the Pacific","Private",38.08,3.74,46.096,17.2,9.185,34.36,61,59.64,1.6
"2010","Patten University","Private",31.08,1.087,26.513,2.21,3.346,46.63,46,34.47,13.1
"2010","Pepperdine University","Private",30.65,3.431,51.45,10.254,10.032,16.43,79.81,44.14,1.6
"2010","Pitzer College","Private",25.66,1.08,52.77,22.09,9.076,16.87,78.92,35.95,2.5
"2010","Point Loma Nazarene University","Private",54.94,2.402,38.139,7.666,8.397,22.54,83.55,60.66,2
"2010","Pomona College","Private",14.74,1.546,51.668,33.378,10.997,17.11,94.4,9.77,1.8
"2010","University of Redlands","Private",66.55,3.02,49.147,9.796,8.102,21.22,64.24,47.02,1.8
"2010","Samuel Merritt University","Private",60.43,0.518,57.36,24.601,9.278,20.55,88.89,81.17,1.3
"2010","San Diego State University","Public",36.37,23.703,17.036,6.22,8.894,31.15,66.18,34.91,2.5
"2010","University of San Diego","Private",51.29,5.299,53.051,12.419,9.998,13.74,72.66,38.25,1.9
"2010","San Francisco State University","Public",72.41,24.633,20.097,6.526,8.81,33.19,48.01,36.98,3.6
"2010","University of San Francisco","Private",67.69,5.734,50.71,13.205,11.375,25.39,69.75,52.64,2.5
"2010","William Jessup University","Private",49.17,0.673,32.5,4.468,5.405,36.28,40.28,66.43,4.1
"2010","San Jose State University","Public",74.43,22.841,19.478,7.698,8.88,29.54,48.02,28.64,3.2
"2010","Santa Clara University","Private",59.23,5.072,52.08,12.474,10.899,12.29,87.28,33.79,1
"2010","Scripps College","Private",39.1,0.946,52.35,24.369,10.049,10.71,82.59,30.68,0
"2010","Simpson University","Private",65.09,0.971,31.46,5.943,5.398,51.26,43.09,71.97,2.6
"2010","Saint Marys College of California","Private",75.19,2.79,50.404,12.757,9.283,30.05,64.34,60.87,4.8
"2010","Sonoma State University","Public",77.28,7.367,21.175,6.985,8.099,22.3,56.9,37.45,2
"2010","Vanguard University of Southern California","Private",78.99,1.708,38.126,8.287,6.705,35.35,59.3,56.78,2.5
"2010","University of Southern California","Private",24.35,17.112,53.511,35.92,11.686,18.32,88.88,50.61,1.6
"2010","Westmont College","Private",75.49,1.353,48.068,12.267,8.026,18.1,76.6,54.29,0.9
"2010","Whittier College","Private",70.39,1.52,46.773,15.136,8.383,30.34,65.99,63.55,3.6
"2010","Woodbury University","Private",37.53,1.253,37.757,10.52,8.514,48.08,52.85,72.04,5.8
"2010","Adams State College","Public",55.11,2.444,15.989,6.83,5.56,58.63,24.56,75.97,13.5
"2010","University of Colorado Denver","Public",60.64,10.299,19.828,18.415,8.436,21.33,42.13,35.81,3.8
"2010","University of Colorado at Colorado Springs","Public",65.22,7.075,19.188,6.4,6.762,32.52,44.94,50.71,5.3
"2010","University of Colorado Boulder","Public",82.82,25.822,24.757,10.365,8.946,15.57,67.88,34.45,2.2
"2010","Colorado Christian University","Private",78.51,2.298,33.354,5.178,5.659,31.52,43.84,61.75,4.1
"2010","Colorado College","Private",33.56,2.04,49.642,17.162,9.537,9.25,87.26,28.75,1.4
"2010","Colorado School of Mines","Public",46.44,3.702,22.87,12.435,9.477,18.14,64.12,47.3,2.3
"2010","Colorado State University-Fort Collins","Public",80.52,21.805,18.054,9.41,8.543,20.82,63.92,44.13,2.2
"2010","University of Denver","Private",71.58,5.431,49.185,13.954,8.523,16.49,75.89,40.13,2.4
"2010","Fort Lewis College","Public",65.48,3.709,17.886,5.643,5.728,31.59,37.85,75.52,10.9
"2010","Mesa State College","Public",79.71,7.472,16.847,5.449,5.804,32.97,30.08,53.22,10.1
"2010","Metropolitan State College of Denver","Public",71.65,22.974,12.824,4.142,6.374,30.52,20.5,48.29,11.3
"2010","Nazarene Bible College","Private",27.11,0.949,15.35,3.904,5.118,33.7,10,44.2,8.6
"2010","University of Northern Colorado","Public",88.17,9.94,17.511,6.893,6.338,23.47,46.39,50.73,5.5
"2010","Regis University","Private",72.26,5.301,42.002,4.67,6.896,24.17,60.74,62.26,4.8
"2010","Colorado State University-Pueblo","Public",94.78,4.853,15.075,3.905,5.998,38.05,30.68,54.79,11.6
"2010","Western State College of Colorado","Public",66.39,2.028,18.725,6.402,5.699,23.55,36.23,46.18,7.3
"2010","Albertus Magnus College","Private",79,1.569,35.757,5.096,5.83,39.68,52.08,84.5,6
"2010","University of Bridgeport","Private",57.45,2.534,41.33,7.118,7.2,52.54,29.88,77.36,9.5
"2010","Central Connecticut State University","Public",60.16,9.72,18.804,7.525,8.302,24.29,47.57,52.84,3.3
"2010","Charter Oak State College","Public",84.12,1.957,36.9,2.183,8.161,13.32,47.54,17.17,5.5
"2010","Connecticut College","Private",36.59,1.77,53.415,16.529,8.667,10.02,86.55,37.25,1.6
"2010","University of Connecticut","Public",53.97,16.97,23.364,19.047,10.845,17.4,80.49,51.91,2.1
"2010","Eastern Connecticut State University","Public",64.5,5.035,22.582,8.291,8.144,21.96,52.45,56.75,3.3
"2010","Fairfield University","Private",64.65,3.689,50.83,10.475,9.514,13.12,82.59,48.2,1.4
"2010","University of Hartford","Private",61.56,5.216,41.539,12.536,7.394,21.03,68.29,62.16,3.8
"2010","Mitchell College","Private",82.67,0.916,39.449,5.356,6.836,28.72,37.17,60.15,11.5
"2010","University of New Haven","Private",73.6,4.159,42.695,8.271,8.233,25.69,52.71,73.24,2.7
"2010","Quinnipiac University","Private",71.98,6.025,46.691,9.53,9.933,11.37,77.75,58.78,0.9
"2010","Sacred Heart University","Private",66.24,4.163,43.465,7.518,7.517,17.18,66.89,62.6,1.8
"2010","Saint Joseph College","Private",81.19,1.037,38.591,9.088,7.204,36.97,41.8,92.32,4.3
"2010","Southern Connecticut State University","Public",71.11,8.776,16.376,8.768,7.91,25.46,42.05,57.62,3.9
"2010","Trinity College","Private",43.17,2.238,53.525,20.703,8.982,12.52,85.94,12.52,1
"2010","Wesleyan University","Private",22.03,2.837,53.797,24.561,9.897,15.72,94.37,36.13,0.5
"2010","Western Connecticut State University","Public",63.38,5.646,19.519,8.102,8.614,20.96,44.5,50.55,5.2
"2010","Yale University","Private",7.53,5.296,52.95,97.654,14.119,12.91,96.32,8.38,1
"2010","Delaware State University","Public",41.49,3.372,19.419,11.429,6.85,50,39.16,75.05,8.9
"2010","University of Delaware","Public",50.57,16.661,18.759,14.852,10.492,10.13,74.02,45.15,1.7
"2010","Goldey-Beacom College","Private",76.33,0.695,29.68,10.349,7.772,30.63,42.75,48.29,4.7
"2010","Wesley College","Private",62.95,1.788,32.135,5.811,4.971,27.96,31.8,51.76,10.6
"2010","Wilmington University","Private",96.9,6.565,18.523,3.487,7.833,36.86,42.65,71.85,4.3
"2010","American University","Private",43.47,6.665,49.747,10.572,10.05,13.31,79.26,49.04,1.8
"2010","Catholic University of America","Private",85.96,3.519,47.524,14.005,8.705,11.8,68.71,57.82,0.7
"2010","University of the District of Columbia","Public",88.91,5.232,12.939,10.401,8.231,44.74,12.11,39.25,7.1
"2010","Gallaudet University","Private",54.99,1.064,26.5,34.53,9.786,45.14,34.8,38.3,4
"2010","George Washington University","Private",36.75,10.055,54.125,16.666,11.571,11.75,80.56,35.63,0.9
"2010","Georgetown University","Private",19.78,7.208,54.954,23.463,11.306,11.12,93.96,32.1,0.8
"2010","Howard University","Private",54.03,6.921,27.46,18.772,7.622,39.96,91.14,76.46,5.1
"2010","Trinity Washington University","Private",82.04,1.561,29.063,5.129,6.126,59.9,34.72,81.07,8.1
"2010","The Baptist College of Florida","Private",46.21,0.625,15.25,4.676,4.659,49.58,41.86,87.78,1.6
"2010","Barry University","Private",56.93,4.838,38.74,9.182,6.31,44.64,35.44,68.4,3.7
"2010","Bethune-Cookman University","Private",68.74,3.299,25.308,6.113,5.049,77.57,36.67,84.61,14.3
"2010","Lynn University","Private",68.92,1.619,43.853,9.181,5.033,17.86,42.6,29.73,3.8
"2010","University of Central Florida","Public",46.38,47.225,17.239,5.445,7.725,25.41,63.63,32.18,4.4
"2010","Clearwater Christian College","Private",72.06,0.546,25.909,4.96,4.521,42.81,46.58,51.4,2.8
"2010","Eckerd College","Private",71.46,2.352,45.312,10.242,6.797,22.18,68.79,57.7,4.4
"2010","Edward Waters College","Private",23.98,0.769,21.628,3.721,4.435,78.06,14.59,69.06,17.2
"2010","Embry Riddle Aeronautical University-Daytona Beach","Private",79.92,4.484,42.2,14.241,7.465,23.69,54.34,55.42,4.4
"2010","Florida Agricultural and Mechanical University","Public",61.11,11.164,14.793,7.695,7.276,59.58,40.62,70.78,12.8
"2010","Florida Atlantic University","Public",50.72,22.408,15.439,7.208,7.448,28.91,42.23,32.01,4.8
"2010","Flagler College-St Augustine","Private",55.62,2.747,25.34,3.682,5.868,24.34,63.6,58.21,1.5
"2010","Florida Hospital College of Health Sciences","Private",98.38,2.634,19.481,5.791,6.249,24.91,38.36,50.1,2.3
"2010","Florida Institute of Technology","Private",58.65,5.329,46.35,6.834,7.963,35.03,56.62,59.48,5
"2010","Florida International University","Public",50.53,32.953,16.783,5.826,8.778,44.19,45.79,37.8,5.8
"2010","Florida Memorial University","Private",40.99,1.852,22.352,4.686,6.366,78.98,39.49,85.32,10.4
"2010","Florida Southern College","Private",67.2,2.264,32.095,6.35,6.404,28.05,51.54,49.52,6.6
"2010","Florida State University","Public",59.52,30.83,16.911,10.618,8.411,24.66,73.56,40.28,3.4
"2010","University of Florida","Public",43.22,32.043,16.102,14.537,9.273,28.06,84.47,29.16,1.9
"2010","Jacksonville University","Private",41.22,3.158,36.814,7.712,6.696,31.11,40.48,58.87,9.2
"2010","Jones College-Jacksonville","Private",42.18,0.657,14.138,1.923,4.405,69.38,37.5,91.73,9.1
"2010","University of Miami","Private",39.22,9.903,51.763,28.542,9.823,19.17,80.25,37.37,1.9
"2010","University of North Florida","Public",50.78,14.044,17.442,4.767,6.394,25.4,46.93,34.2,5.6
"2010","Northwood University-Florida","Private",51.79,0.684,31.138,6.429,6.139,25.58,34.55,49.52,7.6
"2010","Nova Southeastern University","Private",53.29,6.092,34.522,11.064,8.627,36.76,40.59,56.28,2.4
"2010","Palm Beach Atlantic University-West Palm Beach","Private",80.06,2.399,34.376,7.023,6.641,37.22,52.44,65.45,8.3
"2010","Ringling College of Art and Design","Private",74.01,1.368,45.743,13.98,7.299,32.7,68.66,71.09,7.7
"2010","Rollins College","Private",55.66,2.505,52.045,10.143,8.128,24.14,68.93,45.14,1.3
"2010","Saint Leo University","Private",77.55,11.951,30,3.325,6.408,59.85,44.67,96.66,4.1
"2010","University of South Florida-Main Campus","Public",44.54,30.239,18.927,8.197,8.29,33.05,51.44,44.82,6.3
"2010","Saint Thomas University","Private",59.35,1.113,31.971,6.853,8.732,50.17,40,65.48,6
"2010","Stetson University","Private",50.51,2.124,42.325,11.129,8.77,29.09,61.2,55.69,2.3
"2010","Southeastern University","Private",53.94,2.368,25.014,4.703,6.209,37.07,46.14,69.76,6.5
"2010","The University of Tampa","Private",53.09,5.651,33.351,6.697,7.563,21.66,59.29,53.98,5.8
"2010","Warner University","Private",50.17,0.933,25.927,3.219,4.829,53.42,39.37,65.77,11.6
"2010","Webber International University","Private",52.62,0.679,30.032,2.918,4.461,44.3,33.09,64.3,12.5
"2010","The University of West Florida","Public",68.97,9.132,14.338,5.948,6.789,36.04,47.38,52.35,5.5
"2010","Agnes Scott College","Private",46.06,0.853,41.955,15.364,7.602,36.34,68.22,59.38,2.1
"2010","Albany State University","Public",41.72,4.154,14.736,5.565,5.895,71.74,44.85,85.93,8.5
"2010","Armstrong Atlantic State University","Public",56.19,6.737,18.214,4.968,5.79,37.72,28.74,50.62,5.8
"2010","Atlanta Christian College","Private",45.72,1.019,29.498,4.16,4.957,85.07,22.12,93.48,6.8
"2010","Clark Atlanta University","Private",69.37,3.267,29.382,7.07,5.937,64.87,43.06,89.41,9.1
"2010","Augusta State University","Public",61.01,5.628,13,5.311,6.053,40.47,23.11,43.44,8.3
"2010","Berry College","Private",63.91,1.91,35.433,13.531,6.53,27.63,60.12,52.73,5.1
"2010","Beulah Heights University","Private",67.1,0.518,13.32,1.109,3.109,62.79,21.43,81.24,12.9
"2010","Brenau University","Private",21.64,1.766,32.428,5.668,5.857,41.87,45.96,68.36,3.9
"2010","Brewton-Parker College","Private",50.39,0.624,26.213,4.833,4.907,50.71,22.7,59.96,10.7
"2010","Clayton State University","Public",37.02,6.109,16.682,4.819,6.59,51.61,23.49,64.1,6.7
"2010","Columbus State University","Public",56.16,6.97,15.197,5.98,6.337,37.01,33.33,48.4,6.3
"2010","Covenant College","Private",60.2,1.217,34.58,6.712,6.235,30.37,55,58.9,3.5
"2010","Emmanuel College","Private",48.37,0.712,20.038,4.314,4.552,51.78,43.45,71.31,14
"2010","Emory University","Private",29.66,7.14,52.132,39.876,11.357,18.94,88.03,38.01,1.3
"2010","Fort Valley State University","Public",33.02,3.413,17.89,4.527,6.217,70.34,33.33,81.89,14.4
"2010","Georgia Institute of Technology-Main Campus","Public",58.79,13.16,18.24,11.765,11.215,15.77,79.74,33.68,1.4
"2010","Georgia Southwestern State University","Public",68.02,2.775,16.305,4.279,5.905,43.06,30.08,54.72,6.8
"2010","Georgia College & State University","Public",79.02,5.62,18.148,6.008,6.065,20.64,59.48,43.67,3.9
"2010","Georgia Southern University","Public",55.94,16.262,16.86,5.54,6.657,32.42,45,57.79,4.8
"2010","Georgia State University","Public",51.83,22.767,21.356,5.775,8.051,39.79,48.15,51.84,4.1
"2010","University of Georgia","Public",53.76,25.709,18,7.479,9.141,18.51,80.8,36.21,2
"2010","Kennesaw State University","Public",63.6,21.213,17.49,5.043,6.609,29,41.13,48.41,6.2
"2010","LaGrange College","Private",57.91,0.833,32.77,11.408,5.907,39.77,60.63,74.68,6.9
"2010","Life University","Private",61.17,0.792,24.414,4.54,6.314,40.72,47.62,80.74,6.6
"2010","Macon State College","Public",81.2,6.076,3.368,4.438,5.514,47.12,12.36,35.78,12.6
"2010","Mercer University","Private",63.95,4.383,41.529,9.554,7.414,32.91,59.97,71.2,1.9
"2010","Morehouse College","Private",63.83,2.569,39.122,9.493,6.867,43.02,56.7,72.26,19.5
"2010","North Georgia College & State University","Public",56.02,5.326,13.439,5.493,6.173,24.11,48.69,37.16,4.7
"2010","Oglethorpe University","Private",86.41,1.053,40.29,5.943,6.916,34.72,57.99,59.65,9.2
"2010","Paine College","Private",41.11,0.918,21.014,8.051,4.507,75.19,26.18,86.77,12.3
"2010","Piedmont College","Private",61.14,1.256,28.2,5.277,5.646,49.13,41.92,71.61,2.1
"2010","Reinhardt University","Private",57.92,1.075,27.99,7.023,5.598,30.21,37.5,41.95,8.6
"2010","Savannah College of Art and Design","Private",62.61,8.23,43.609,9.277,7.05,21.32,66.72,59.49,3.4
"2010","Savannah State University","Public",61.39,3.837,13.966,4.746,5.784,67.88,34.68,82.31,11.1
"2010","Shorter University","Private",62.25,1.477,26.512,5.474,5.132,38.09,50.88,61.16,7.1
"2010","Spelman College","Private",37.64,2.177,36.488,9.818,6.686,43.88,73.01,68.19,8.8
"2010","Southern Polytechnic State University","Public",74.47,4.723,14.541,5.369,6.123,30.69,32.12,46.24,7.3
"2010","Thomas University","Private",84.72,0.841,22.835,5.104,5.675,68.75,21.88,97.05,2.6
"2010","Toccoa Falls College","Private",54.65,0.744,27.237,5.133,4.906,47.17,51.55,64.25,2.8
"2010","Valdosta State University","Public",70.77,10.733,19.024,5.265,6.029,37.05,40.83,58.71,5.3
"2010","Wesleyan College","Private",54.26,0.522,27.751,10.529,5.719,37.62,49.33,52.81,10.1
"2010","University of West Georgia","Public",54.39,9.565,15.816,5.172,6.116,39.4,34.96,57.88,5.3
"2010","Chaminade University of Honolulu","Private",90.13,1.996,28.451,6.354,6.439,33,47.37,55.03,6.6
"2010","University of Hawaii at Hilo","Public",52.44,3.351,13.53,12.529,7.533,39.4,33.25,43.18,5.5
"2010","University of Hawaii at Manoa","Public",67.22,13.599,15.382,16.154,9.14,24.38,50.32,32.3,2.5
"2010","Hawaii Pacific University","Private",77.6,6.707,26.195,4.982,7.443,19.06,38.87,34.38,3.8
"2010","University of Hawaii-West Oahu","Public",81.33,1.418,8.638,8.64,7.126,24.23,29.33,23.71,10.4
"2010","Boise State University","Public",64.52,16.711,13.956,6.202,6.603,35.48,31.65,52.4,5.9
